cod_tra;nome_orgao_tra;ano_mes_tra;nome_acao_tra;valor_total_transferencia_tra;valor_transferencia_tra
3277333;Ministério da Saúde - Unidades com vínculo direto;202406;PISO DE ATENCAO PRIMARIA A SAUDE;9959.31;9959.31
3277334;Ministério da Saúde - Unidades com vínculo direto;202406;PISO DE ATENCAO PRIMARIA A SAUDE;10850;10850
3277335;Ministério da Saúde - Unidades com vínculo direto;202406;PISO DE ATENCAO PRIMARIA A SAUDE;28802.26;28802.26
3277336;Ministério da Saúde - Unidades com vínculo direto;202406;PISO DE ATENCAO PRIMARIA A SAUDE;168000;168000
3277337;Ministério da Saúde - Unidades com vínculo direto;202406;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;115784;115784
3277338;Ministério da Saúde - Unidades com vínculo direto;202406;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;9235;9235
3277339;Ministério da Saúde - Unidades com vínculo direto;202406;APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;10073.34;10073.34
3277340;Ministério da Saúde - Unidades com vínculo direto;202406;INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;1005;1005
3124162;Fundo Nacional de Desenvolvimento da Educação;202405;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);17489.4;17489.4
3124163;Fundo Nacional de Desenvolvimento da Educação;202405;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);41503.4;41503.4
3124164;Fundo Nacional de Desenvolvimento da Educação;202405;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;570;570
3131156;Fundo Nacional de Assistência Social;202405;ACOES DE PROTECAO SOCIAL BASICA;15440;15440
3131157;Fundo Nacional de Assistência Social;202405;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;12386.35;12386.35
3131158;Ministério da Saúde - Unidades com vínculo direto;202405;ASSISTENCIA FINANCEIRA COMPLEMENTAR AOS ESTADOS, AO DISTRITO FEDERAL E AOS MUNICIPIOS PARA O PAGAMEN;121025.56;121025.56
3131159;Ministério da Saúde - Unidades com vínculo direto;202405;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;35978;35978
3131160;Ministério da Saúde - Unidades com vínculo direto;202405;PISO DE ATENCAO PRIMARIA A SAUDE;10850;10850
3131161;Ministério da Saúde - Unidades com vínculo direto;202405;PISO DE ATENCAO PRIMARIA A SAUDE;28802.26;28802.26
3131162;Ministério da Saúde - Unidades com vínculo direto;202405;PISO DE ATENCAO PRIMARIA A SAUDE;49796.55;49796.55
3131163;Ministério da Saúde - Unidades com vínculo direto;202405;PISO DE ATENCAO PRIMARIA A SAUDE;58380.26;58380.26
3131164;Ministério da Saúde - Unidades com vínculo direto;202405;PISO DE ATENCAO PRIMARIA A SAUDE;168000;168000
3131165;Ministério da Saúde - Unidades com vínculo direto;202405;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;115784;115784
3131166;Ministério da Saúde - Unidades com vínculo direto;202405;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;9235;9235
3131167;Ministério da Saúde - Unidades com vínculo direto;202405;APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;10073.34;10073.34
3131168;Ministério da Saúde - Unidades com vínculo direto;202405;INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;1005;1005
2599111;Fundo Nacional de Desenvolvimento da Educação;202404;APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA;228677.98;228677.98
2599112;;202404;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);17489.4;17489.4
2599113;;202404;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);42537;42537
2599114;;202404;APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO;477500;477500
2601236;Fundo Nacional de Desenvolvimento da Educação;202404;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2135;2135
2601237;Fundo Nacional de Desenvolvimento da Educação;202404;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;3275;3275
2601238;Fundo Nacional de Desenvolvimento da Educação;202404;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2025;2025
2601239;Fundo Nacional de Desenvolvimento da Educação;202404;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;3715;3715
2601240;Fundo Nacional de Desenvolvimento da Educação;202404;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;3455;3455
2601241;Fundo Nacional de Desenvolvimento da Educação;202404;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;3515;3515
2605620;Ministério da Saúde - Unidades com vínculo direto;202404;PISO DE ATENCAO PRIMARIA A SAUDE;6900;6900
2605621;Ministério da Saúde - Unidades com vínculo direto;202404;PISO DE ATENCAO PRIMARIA A SAUDE;10850;10850
2605622;Ministério da Saúde - Unidades com vínculo direto;202404;PISO DE ATENCAO PRIMARIA A SAUDE;18726.96;18726.96
2605623;Ministério da Saúde - Unidades com vínculo direto;202404;PISO DE ATENCAO PRIMARIA A SAUDE;28190;28190
2605624;Ministério da Saúde - Unidades com vínculo direto;202404;PISO DE ATENCAO PRIMARIA A SAUDE;200299.81;200299.81
2605625;Ministério da Saúde - Unidades com vínculo direto;202404;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;107312;107312
2605626;Ministério da Saúde - Unidades com vínculo direto;202404;TRANSFORMACAO DIGITAL NO SUS;37653.7;37653.7
2605627;Ministério da Saúde - Unidades com vínculo direto;202404;INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;3015;3015
2605628;;202404;PRIMEIRA INFANCIA NO SUAS - CRIANCA FELIZ;5844;5844
2605629;;202404;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;35978;35978
2605630;;202404;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;9235;9235
2605631;;202404;APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;10073.34;10073.34
2465670;Fundo Nacional de Cultura;202403;IMPLEMENTACAO DA POLITICA NACIONAL ALDIR BLANC DE FOMENTO A CULTURA;171815.28;171815.28
2465671;Fundo Nacional de Desenvolvimento da Educação;202403;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);34978.8;34978.8
2465672;Fundo Nacional de Desenvolvimento da Educação;202403;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);85590.8;85590.8
2469634;Fundo Nacional de Assistência Social;202403;ACOES DE PROTECAO SOCIAL BASICA;15440;15440
2469635;Fundo Nacional de Assistência Social;202403;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;22161.28;22161.28
2469636;Ministério da Saúde - Unidades com vínculo direto;202403;ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE;241316;241316
2469637;Ministério da Saúde - Unidades com vínculo direto;202403;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;35978;35978
2469638;Ministério da Saúde - Unidades com vínculo direto;202403;PISO DE ATENCAO PRIMARIA A SAUDE;6900;6900
2469639;Ministério da Saúde - Unidades com vínculo direto;202403;PISO DE ATENCAO PRIMARIA A SAUDE;10850;10850
2469640;Ministério da Saúde - Unidades com vínculo direto;202403;PISO DE ATENCAO PRIMARIA A SAUDE;18726.96;18726.96
2469641;Ministério da Saúde - Unidades com vínculo direto;202403;PISO DE ATENCAO PRIMARIA A SAUDE;44338;44338
2469642;Ministério da Saúde - Unidades com vínculo direto;202403;PISO DE ATENCAO PRIMARIA A SAUDE;200299.81;200299.81
2469643;Ministério da Saúde - Unidades com vínculo direto;202403;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;115784;115784
2469644;Ministério da Saúde - Unidades com vínculo direto;202403;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;42481;42481
2469645;Ministério da Saúde - Unidades com vínculo direto;202403;APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;32262.6;32262.6
2469646;Ministério da Saúde - Unidades com vínculo direto;202403;APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;9865.95;9865.95
2224366;Fundo Nacional de Desenvolvimento da Educação;202402;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);516.8;516.8
2227391;Fundo Nacional de Assistência Social;202402;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;27700.56;27700.56
2227392;Ministério da Saúde - Unidades com vínculo direto;202402;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;35978;35978
2227393;Ministério da Saúde - Unidades com vínculo direto;202402;PISO DE ATENCAO PRIMARIA A SAUDE;6900;6900
2227394;Ministério da Saúde - Unidades com vínculo direto;202402;PISO DE ATENCAO PRIMARIA A SAUDE;10850;10850
2227395;Ministério da Saúde - Unidades com vínculo direto;202402;PISO DE ATENCAO PRIMARIA A SAUDE;16940;16940
2227396;Ministério da Saúde - Unidades com vínculo direto;202402;PISO DE ATENCAO PRIMARIA A SAUDE;18726.96;18726.96
2227397;Ministério da Saúde - Unidades com vínculo direto;202402;PISO DE ATENCAO PRIMARIA A SAUDE;200299.81;200299.81
2227398;Ministério da Saúde - Unidades com vínculo direto;202402;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;115784;115784
2227399;Ministério da Saúde - Unidades com vínculo direto;202402;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;9235;9235
2227400;Ministério da Saúde - Unidades com vínculo direto;202402;APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;10073.34;10073.34
2130812;Fundo Nacional de Assistência Social;202401;PRIMEIRA INFANCIA NO SUAS - CRIANCA FELIZ;5994;5994
2130813;Ministério da Saúde - Unidades com vínculo direto;202401;ASSISTENCIA FINANCEIRA COMPLEMENTAR AOS ESTADOS, AO DISTRITO FEDERAL E AOS MUNICIPIOS PARA O PAGAMEN;114951.92;114951.92
2130814;Ministério da Saúde - Unidades com vínculo direto;202401;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;35978;35978
2130815;Ministério da Saúde - Unidades com vínculo direto;202401;PISO DE ATENCAO PRIMARIA A SAUDE;6900;6900
2130816;Ministério da Saúde - Unidades com vínculo direto;202401;PISO DE ATENCAO PRIMARIA A SAUDE;10850;10850
2130817;Ministério da Saúde - Unidades com vínculo direto;202401;PISO DE ATENCAO PRIMARIA A SAUDE;18721.14;18721.14
2130818;Ministério da Saúde - Unidades com vínculo direto;202401;PISO DE ATENCAO PRIMARIA A SAUDE;28190;28190
2130819;Ministério da Saúde - Unidades com vínculo direto;202401;PISO DE ATENCAO PRIMARIA A SAUDE;198641.73;198641.73
2130820;Ministério da Saúde - Unidades com vínculo direto;202401;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;115784;115784
2130821;Ministério da Saúde - Unidades com vínculo direto;202401;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;9235;9235
2130822;Ministério da Saúde - Unidades com vínculo direto;202401;APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;10073.34;10073.34
2037863;Fundo Nacional de Desenvolvimento da Educação;202312;APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA;39312.47;39312.47
2037864;Ministério da Fazenda - Unidades com vínculo direto;202312;TRANSFERENCIAS ESPECIAIS;1000000;1000000
2044796;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;3328;3328
2044797;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;8645;8645
2044798;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;3328;3328
2044799;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;3328;3328
2044800;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2451;2451
2044801;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;3328;3328
2044802;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2451;2451
2044803;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2470;2470
2044804;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2451;2451
2044805;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2451;2451
2044806;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2451;2451
2044807;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;3328;3328
2044808;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;4940;4940
2044809;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2470;2470
2044810;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;3328;3328
2044811;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;3328;3328
2044812;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;4940;4940
2044813;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2451;2451
2044814;Fundo Nacional de Desenvolvimento da Educação;202312;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2451;2451
2055636;Fundo Nacional de Assistência Social;202312;ACOES DE PROTECAO SOCIAL BASICA;15350.58;15350.58
2055637;Fundo Nacional de Assistência Social;202312;ACOES DE PROTECAO SOCIAL BASICA;15446.08;15446.08
2055638;Fundo Nacional de Assistência Social;202312;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;10391.49;10391.49
2055639;Fundo Nacional de Assistência Social;202312;ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);325000;325000
2055640;Fundo Nacional de Assistência Social;202312;DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ;5910;5910
2055641;Ministério da Saúde - Unidades com vínculo direto;202312;ASSISTENCIA FINANCEIRA COMPLEMENTAR AOS ESTADOS, AO DISTRITO FEDERAL E AOS MUNICIPIOS PARA O PAGAMEN;114088.28;114088.28
2055642;Ministério da Saúde - Unidades com vínculo direto;202312;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;35978;35978
2055643;Ministério da Saúde - Unidades com vínculo direto;202312;IMPLEMENTACAO DE POLITICAS DE ATENCAO PRIMARIA A SAUDE;168;168
2055644;Ministério da Saúde - Unidades com vínculo direto;202312;PISO DE ATENCAO PRIMARIA A SAUDE;4898;4898
2055645;Ministério da Saúde - Unidades com vínculo direto;202312;PISO DE ATENCAO PRIMARIA A SAUDE;6900;6900
2055646;Ministério da Saúde - Unidades com vínculo direto;202312;PISO DE ATENCAO PRIMARIA A SAUDE;10850;10850
2055647;Ministério da Saúde - Unidades com vínculo direto;202312;PISO DE ATENCAO PRIMARIA A SAUDE;16866;16866
2055648;Ministério da Saúde - Unidades com vínculo direto;202312;PISO DE ATENCAO PRIMARIA A SAUDE;18721.14;18721.14
2055649;Ministério da Saúde - Unidades com vínculo direto;202312;PISO DE ATENCAO PRIMARIA A SAUDE;34142;34142
2055650;Ministério da Saúde - Unidades com vínculo direto;202312;PISO DE ATENCAO PRIMARIA A SAUDE;173891.56;173891.56
2055651;Ministério da Saúde - Unidades com vínculo direto;202312;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;95040;95040
2055652;Ministério da Saúde - Unidades com vínculo direto;202312;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;108240;108240
2055653;Ministério da Saúde - Unidades com vínculo direto;202312;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;9235;9235
2055654;Ministério da Saúde - Unidades com vínculo direto;202312;APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;1555.68;1555.68
2055655;Ministério da Saúde - Unidades com vínculo direto;202312;APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;8517.66;8517.66
2055656;Ministério da Saúde - Unidades com vínculo direto;202312;INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;1005;1005
1740148;Fundo Nacional de Desenvolvimento da Educação;202311;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);16540.6;16540.6
1740149;Fundo Nacional de Desenvolvimento da Educação;202311;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);45865.8;45865.8
1740150;Fundo Nacional de Desenvolvimento da Educação;202311;APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA;226891.81;226891.81
1740151;Fundo Nacional de Desenvolvimento da Educação;202311;APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA;41113.19;41113.19
1743997;Fundo Nacional de Assistência Social;202311;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;12979.53;12979.53
1743998;Ministério da Saúde - Unidades com vínculo direto;202311;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;35978;35978
1743999;Ministério da Saúde - Unidades com vínculo direto;202311;PISO DE ATENCAO PRIMARIA A SAUDE;4600;4600
1744000;Ministério da Saúde - Unidades com vínculo direto;202311;PISO DE ATENCAO PRIMARIA A SAUDE;23619.14;23619.14
1744001;Ministério da Saúde - Unidades com vínculo direto;202311;PISO DE ATENCAO PRIMARIA A SAUDE;25709;25709
1744002;Ministério da Saúde - Unidades com vínculo direto;202311;PISO DE ATENCAO PRIMARIA A SAUDE;206998.51;206998.51
1744003;Ministério da Saúde - Unidades com vínculo direto;202311;TRANSFERENCIA AOS ENTES FEDERATIVOS PARA O PAGAMENTO DOS VENCIMENTOS DOS AGENTES COMUNITARIOS DE SAU;108240;108240
1744004;Ministério da Saúde - Unidades com vínculo direto;202311;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;9235;9235
1744005;Ministério da Saúde - Unidades com vínculo direto;202311;APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;8517.66;8517.66
1744006;Ministério da Saúde - Unidades com vínculo direto;202311;INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;1005;1005
1572348;Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba;202310;APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO;477500;477500
1572349;Fundo Nacional de Desenvolvimento da Educação;202310;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);16540.6;16540.6
1572350;Fundo Nacional de Desenvolvimento da Educação;202310;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);45865.8;45865.8
1572351;Fundo Nacional de Desenvolvimento da Educação;202310;APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA;41113.19;41113.19
1572352;Fundo Nacional de Desenvolvimento da Educação;202310;APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL;33574.46;33574.46
1574401;Fundo Nacional de Desenvolvimento da Educação;202310;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;2610;2610
1574402;Fundo Nacional de Desenvolvimento da Educação;202310;DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA;20000;20000
1578726;Fundo Nacional de Assistência Social;202310;ACOES DE PROTECAO SOCIAL BASICA;15264.31;15264.31
1578727;Fundo Nacional de Assistência Social;202310;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA BOLSA FAMILIA E D;12990.78;12990.78
1578728;Fundo Nacional de Assistência Social;202310;DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ;5964;5964
1578729;Ministério da Saúde - Unidades com vínculo direto;202310;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;66670;66670
1578730;Ministério da Saúde - Unidades com vínculo direto;202310;PISO DE ATENCAO PRIMARIA A SAUDE;6900;6900
1578731;Ministério da Saúde - Unidades com vínculo direto;202310;PISO DE ATENCAO PRIMARIA A SAUDE;23619.14;23619.14
